"country","Region","X2016.Score","Property.Rights","Freedom.from.Corruption","Fiscal.Freedom","Gov.t.Spending","Business.Freedom","Labor.Freedom","Monetary.Freedom","Trade.Freedom","Investment.Freedom","Financial.Freedom","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP.","minYear.x","maxYear.x","sharePresident","shareAssemblyPresident","shareParliament","system","minYear.y","maxYear.y","meanPolity","Freq","polity2","meanInd","meanInt","meanCiv","meanTOT","shareInt","shareCiv","bombings","legor_uk","legor_fr","legor_so","legor_ge","legor_sc","Int_","Civ_","Tot_","country2","polity2_","legal"
"Afghanistan","Asia-Pacific",NA,NA,"12","91.6","81.2","56.6","63.2",NA,NA,"55",NA,NA,"20","20","6.6","25","31.3","60.6","1.5","6.8","1937","9.1","4.6","53.6","6.7",1994,2014,NA,NA,NA,0,1994,2014,-4.5,8,-1,1,0,4.52380952380952,4.52380952380952,0,1,83,0,1,0,0,0,0,1,1,"Afghanistan",2,2
"Albania","Europe","65.9","35","33","87.8","75","67.6","51.5","81.7","87.6","70","70","1.2","23","15","21.7","28.9","2.8","31.6","2.1","2.3","11377","16.1","1.6","1093.5","72.6",1994,2014,0,0,1,2,1994,2014,6.95238095238095,21,9,1,0,0.0952380952380952,0.0952380952380952,0,0.0476190476190476,0,0,0,1,0,0,0,1,1,"Albania",3,3
"Algeria","Middle East / North Africa","50.1","25","36","81","59.4","62.1","48.2","68.1","60.8","30","30","12.1","35","23","12.2","38","38.7","551.8","4.1","3.3","14259","9.5","2.9","1488","8.8",1994,2014,1,0,0,0,1994,2014,-0.571428571428571,21,2,1,0,2.0952380952381,2.0952380952381,0,0.523809523809524,15,0,1,0,0,0,0,1,1,"Algeria",2,2
"Angola","Sub-Saharan Africa","48.9","15","19","87.8","50.1","50.3","44.8","72.2","70.2","40","40","4.9","17","30","6","40.8","24.4","175.6","4.2","4.7","7203","6.8","7.3","-3881","38",1994,2014,1,0,0,0,1994,2014,-2.19047619047619,21,-2,1,0,3.14285714285714,3.14285714285714,0,0.571428571428571,1,0,1,0,0,0,0,1,1,"Angola",2,2
"Argentina","South and Central America / Caribbean","43.8","15","34","66.1","51.3","56","43.9","44","67.4","30","30","6.3","35","35","30.6","40.3","42","947.6","0.5","4.4","22582","8.2","37.6","6612","48.6",1994,2014,1,0,0,0,1994,2014,7.76190476190476,21,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Argentina",3,2
"Armenia","Europe","67","20","37","83.8","80.7","77.5","62.2","72.8","85.6","80","70","2.2","26","20","23.4","25.4","3.3","24.3","3.4","4.2","7374","17.1","3.1","382.8","44.2",1994,2014,1,0,0,0,1994,2014,3.95238095238095,21,5,1,0.142857142857143,0,0.142857142857143,0.0476190476190476,0,0,0,0,1,0,0,1,0,1,"Armenia",2,3
"Australia","Asia-Pacific","80.3","90","80","63.2","62","89.4","77.2","85.2","86.4","80","90","1.8","45","30","27.5","35.6","23.6","1095.4","2.7","2.7","46433","6","2.5","51854.2","34.3",1994,2014,0,0,1,2,1994,2014,10,21,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Australia",3,1
"Austria","Europe","71.7","90","72","50.7","22.4","79.4","72.5","81.7","88","90","70","1","50","25","42.5","50.9","8.5","395.5","0.3","1.3","46420","5","1.5","4674.9","86.8",1994,2014,0,0,1,2,1994,2014,10,21,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Austria",3,4
"Azerbaijan","Asia-Pacific","60.2","20","29","88","56.7","70.3","75.2","77","75.8","60","50","4.6","25","20","13.3","38","9.4","165.3","2.8","3.2","17618","5.2","1.4","4430.4","16.4",1994,2014,1,0,0,0,1994,2014,-6.66666666666667,21,-7,1,0.142857142857143,0.571428571428571,0.714285714285714,0.0476190476190476,0.19047619047619,0,0,0,1,0,0,1,1,1,"Azerbaijan",1,3
"Bahamas","South and Central America / Caribbean","70.9","70","71","97.9","84.3","70.7","72.8","78.5","64","40","60","13","0","0","14.4","22.8","0.4","9.0","1.3","1.1","25049","15.4","1.2","1595.9","60.4",1994,2014,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,"Bahamas",NA,1
"Bahrain","Middle East / North Africa","74.3","60","49","99.9","75.4","71.9","79.1","74.6","82.6","70","80","3.7","0","0","3.1","28.6","1.2","61.9","4.7","4","51714","4.1","2.5","957.4","43.8",1994,2014,1,0,0,0,1994,2014,-8.09523809523809,21,-10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Bahrain",1,1
"Bangladesh","Asia-Pacific","53.3","20","25","72.7","93.6","52.6","62.5","68.2","63.6","45","30","10.7","25","45","9","14.6","158.2","533.7","6.1","6.2","3373","4.3","7","1526.7","33.9",1994,2014,NA,NA,NA,2,1994,2014,4.33333333333333,21,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,"Bangladesh",2,1
"Barbados","South and Central America / Caribbean","68.3","80","74","75.8","37.6","70.2","67.3","80.8","62.2","75","60","13.9","35","25","23.9","45.6","0.3","4.5","-0.3","0.1","16183","12","1.9","275.1","100.4",1994,2014,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,"Barbados",NA,1
"Belarus","Europe","48.8","20","31","88.6","44.8","69","74.9","50.4","79","20","10","3","13","18","25.4","42.9","9.5","172.0","1.6","3.5","18161","5.9","18.1","1798.2","37.9",1994,2014,1,0,0,0,1994,2014,-6,21,-7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Belarus",1,3
