"","actor","film","budget","gross","release","adjusted.budget","adjusted.gross"
"3","Arnold Schwarzenegger","The Terminator (1984)",6400000,78371200,1984-10-26,14580000,178500000
"5","Arnold Schwarzenegger","The Expendables (2010)",8e+07,274470394,2010-08-03,86840000,297900000
"7","Arnold Schwarzenegger","Sabotage (I) (2014)",3.5e+07,10499968,2014-03-19,3.5e+07,10500000
"9","Arnold Schwarzenegger","The Last Stand (2013)",3e+07,48330757,2013-01-12,30480000,49110000
"10","Arnold Schwarzenegger","The Expendables 2 (2012)",9.2e+07,312573423,2012-08-08,94850000,322300000
"13","Arnold Schwarzenegger","Around the World in 80 Days (2004)",1.1e+08,72178895,2004-06-13,137800000,90440000
"14","Arnold Schwarzenegger","Terminator 3: Rise of the Machines (2003)",2e+08,433371112,2003-06-30,257300000,557500000
"16","Arnold Schwarzenegger","Collateral Damage (2002)",8.5e+07,65900000,2002-02-04,111900000,86730000
"17","Arnold Schwarzenegger","The 6th Day (2000)",8.2e+07,96085477,2000-10-28,112700000,132100000
"19","Arnold Schwarzenegger","End of Days (1999)",8.3e+07,209300000,1999-11-16,117900000,297400000
"20","Arnold Schwarzenegger","Batman & Robin (1997)",1.25e+08,1.3e+08,1997-06-12,184300000,191700000
"21","Arnold Schwarzenegger","Jingle All the Way (1996)",6e+07,129832389,1996-11-16,90540000,195900000
"22","Arnold Schwarzenegger","Eraser (1996)",1e+08,233200000,1996-06-11,150900000,351900000
"24","Arnold Schwarzenegger","Junior (1994)",6e+07,108431355,1994-11-23,95820000,173200000
"25","Arnold Schwarzenegger","True Lies (1994)",1.15e+08,364300000,1994-07-15,183700000,581800000
"27","Arnold Schwarzenegger","Last Action Hero (1993)",7e+07,137298489,1993-06-18,114700000,2.25e+08
"29","Arnold Schwarzenegger","Terminator 2: Judgment Day (1991)",1.02e+08,519843345,1991-07-01,177300000,903700000
"31","Arnold Schwarzenegger","Kindergarten Cop (1990)",2.6e+07,91457688,1990-12-21,47100000,165700000
"32","Arnold Schwarzenegger","Total Recall (1990)",6.5e+07,261299840,1990-06-01,117800000,473400000
"33","Arnold Schwarzenegger","Twins (1988)",1.5e+07,216600000,1988-12-08,30020000,433500000
"35","Arnold Schwarzenegger","The Running Man (1987)",2.7e+07,38122105,1987-11-13,56250000,79420000
"36","Arnold Schwarzenegger","Predator (1987)",1.5e+07,98235548,1987-06-12,31250000,204700000
"37","Arnold Schwarzenegger","Raw Deal (1986)",8500000,16209459,1986-06-06,18340000,34980000
"38","Arnold Schwarzenegger","Commando (1985)",1e+07,57491000,1985-10-04,2.2e+07,126500000
"39","Arnold Schwarzenegger","Red Sonja (1985)",17900000,6948633,1985-07-03,39380000,15290000
"41","Arnold Schwarzenegger","Conan the Destroyer (1984)",1.8e+07,31042035,1984-06-29,4.1e+07,70700000
"42","Arnold Schwarzenegger","Conan the Barbarian (1982)",2e+07,68851475,1982-04-02,49040000,168800000
"95","Bruce Willis","Sin City (2005)",4e+07,158753820,2005-03-28,48490000,192400000
"97","Bruce Willis","RED 2 (2013)",8.4e+07,148075565,2013-07-18,85350000,150500000
"98","Bruce Willis","G.I. Joe: Retaliation (2013)",1.3e+08,375740705,2013-03-11,132100000,381800000
"99","Bruce Willis","Good Day to Die Hard, A (2013)",9.2e+07,304654182,2013-02-07,93480000,309600000
"100","Bruce Willis","Looper (2012)",3e+07,176506819,2012-09-06,30930000,1.82e+08
"102","Bruce Willis","The Expendables 2 (2012)",9.2e+07,312573423,2012-08-08,94850000,322300000
"103","Bruce Willis","Moonrise Kingdom (2012)",1.6e+07,68263166,2012-05-16,16500000,70380000
"104","Bruce Willis","The Cold Light of Day (2012)",2e+07,10968746,2012-04-04,20620000,11310000
"109","Bruce Willis","RED (2010)",5.8e+07,199006387,2010-09-29,62960000,2.16e+08
"110","Bruce Willis","The Expendables (2010)",8e+07,274470394,2010-08-03,86840000,297900000
"111","Bruce Willis","Cop Out (2010)",3.7e+07,44867349,2010-02-25,40160000,48700000
"112","Bruce Willis","Surrogates (2009)",8e+07,38542418,2009-09-24,88260000,42520000
"113","Bruce Willis","What Just Happened (2008)",2.5e+07,3291679,2008-01-19,27490000,3620000
"116","Bruce Willis","Nancy Drew (2007)",2e+07,30666930,2007-06-15,22830000,35010000
"117","Bruce Willis","Live Free or Die Hard (2007)",1.1e+08,383531464,2007-06-12,125600000,437900000
"118","Bruce Willis","Perfect Stranger (2007)",60795000,23705592,2007-04-10,69410000,27060000
"119","Bruce Willis","Grindhouse (2007)",5.3e+07,25031037,2007-04-06,60510000,28580000
"120","Bruce Willis","The Astronaut Farmer (2006)",1.3e+07,10996440,2006-10-15,15270000,12910000
"123","Bruce Willis","16 Blocks (2006)",5.2e+07,36883539,2006-03-01,61070000,43320000
"127","Bruce Willis","Hostage (2005)",5.2e+07,34636443,2005-03-09,63040000,41990000
"128","Bruce Willis","Ocean's Twelve (2004)",1.1e+08,125531634,2004-12-08,137800000,157300000
"129","Bruce Willis","The Whole Ten Yards (2004)",4e+07,16323969,2004-04-07,50120000,20450000
"130","Bruce Willis","Charlie's Angels: Full Throttle (2003)",1.2e+08,259175788,2003-06-18,154400000,333400000
"131","Bruce Willis","Rugrats Go Wild (2003)",2.5e+07,39399750,2003-06-01,32160000,50690000
"132","Bruce Willis","Tears of the Sun (2003)",7e+07,86468162,2003-03-03,90050000,111200000
"134","Bruce Willis","Hart's War (2002)",6e+07,32286000,2002-02-15,78960000,42490000
"135","Bruce Willis","Bandits (2001)",8e+07,41523271,2001-10-12,1.07e+08,55520000
"136","Bruce Willis","Unbreakable (2000)",7.5e+07,249511339,2000-11-14,103100000,3.43e+08
"137","Bruce Willis","The Kid (2000)",6e+07,69688384,2000-06-25,82480000,95800000
"138","Bruce Willis","The Whole Nine Yards (2000)",2.4e+07,57262492,2000-02-17,32990000,78720000
"139","Bruce Willis","The Story of Us (1999)",5e+07,27067160,1999-10-13,71050000,38460000
"140","Bruce Willis","The Sixth Sense (1999)",4e+07,672806292,1999-08-02,56840000,9.56e+08
"141","Bruce Willis","Breakfast of Champions (1999)",1.2e+07,175370,1999-02-13,17050000,249200
"142","Bruce Willis","The Siege (1998)",7e+07,40932372,1998-11-06,101700000,59440000
"143","Bruce Willis","Armageddon (1998)",1.4e+08,553709788,1998-06-30,203300000,804100000
"144","Bruce Willis","Mercury Rising (1998)",6e+07,91600000,1998-04-01,87130000,1.33e+08
"145","Bruce Willis","The Jackal (1997)",6e+07,8.4e+07,1997-11-14,88480000,123900000
"146","Bruce Willis","The Fifth Element (1997)",9e+07,263920180,1997-05-07,132700000,389200000
"148","Bruce Willis","Beavis and Butt-Head Do America (1996)",1.2e+07,63071133,1996-12-15,18110000,95180000
"149","Bruce Willis","Last Man Standing (1996)",6.7e+07,33200000,1996-09-20,101100000,50100000
"150","Bruce Willis","Twelve Monkeys (1995)",2.9e+07,1.67e+08,1995-12-27,45050000,259400000
"151","Bruce Willis","Four Rooms (1995)",4e+06,4301331,1995-09-16,6214000,6682000
"152","Bruce Willis","Hard: With a Vengeance, Die (1995)",9e+07,361212499,1995-05-15,139800000,561100000
"154","Bruce Willis","Color of Night (1994)",4e+07,19726050,1994-08-19,63880000,31500000
"156","Bruce Willis","Pulp Fiction (1994)",8e+06,213928762,1994-05-12,12780000,341600000
"157","Bruce Willis","Striking Distance (1993)",3e+07,23798623,1993-09-17,49150000,38990000
"159","Bruce Willis","Death Becomes Her (1992)",5.5e+07,1.49e+08,1992-07-31,92790000,251400000
"161","Bruce Willis","Billy Bathgate (1991)",4.8e+07,15965919,1991-11-01,83440000,27760000
"164","Bruce Willis","The Bonfire of the Vanities (1990)",4.7e+07,15691192,1990-12-21,85150000,28430000
"166","Bruce Willis","Look Who's Talking (1989)",7500000,296999813,1989-10-13,14320000,567200000
