rank_priv;rank_in;rank_out;name;state;admit_rate;grad_rate;total_cost_in;cost_based_in;total_cost_out;cost_based_out;avg_dept;salary;public;per_non_need;avg_non_need
;1;1;University of North Carolina at Chapel Hill;NC;28;81;20935;6144;46017;31226;18945;50400;1;;
;2;3;University of Florida;FL;47;67;17331;10553;39609;32831;20642;51300;1;;
;3;2;University of Virginia;VA;29;87;26348;6942;55644;36238;22933;58600;1;;
;4;6;University of California, Berkeley;CA;16;72;30093;7958;54801;32666;17584;62700;1;;
;5;14;University of Michigan;MI;32;76;25458;10408;54078;39028;26510;57900;1;;
;6;10;University of California, Los Angeles;CA;19;73;29266;10460;53974;35168;20759;59200;1;;
;7;11;University of Maryland, College Park;MD;48;67;22098;13442;43246;34590;25131;59100;1;;
;8;8;University of Wisconsin ? Madison;WI;50;56;20419;10529;39669;29779;26579;51000;1;;
;9;20;University of Washington;WA;55;61;24355;9355;46659;31659;21532;52100;1;;
;10;7;College of William and Mary;VA;33;83;31650;17736;53350;39436;25733;56400;1;;
;11;9;North Carolina State University;NC;51;44;19968;9953;36319;26304;20482;47500;1;;
;12;18;University of Georgia;GA;56;61;21912;13160;40122;31370;21638;46500;1;;
;13;31;University of Texas at Austin;TX;40;52;22012;12894;46882;37764;27207;52800;1;;
;14;22;New College of Florida;FL;60;57;17048;8567;40076;31595;17553;NA;1;;
;15;5;Truman State University;MO;74;57;16936;10142;23475;16681;23585;42700;1;;
;16;15;Florida State University;FL;55;61;17571;12631;32737;27797;24347;44000;1;;
;17;12;Ohio State University;OH;53;62;22951;13616;40279;30944;26830;42600;1;;
;18;29;University of California, Santa Barbara;CA;36;69;29563;11615;54271;36323;21045;52000;1;;
;19;37;Purdue University;IN;59;46;21252;9508;40054;28310;28343;52600;1;;
;20;28;University of California, San Diego;CA;33;57;27801;10177;51825;34201;21790;59600;1;;
;21;19;New Mexico Institute of Mining and Technology;NM;36;22;15265;9756;27789;22280;20944;52800;1;;
;22;16;Binghamton University, State University of New York;NY;44;68;23251;15186;36371;28306;25727;58400;1;;
;23;24;Georgia Institute of Technology;GA;33;37;23720;14198;43912;34390;24891;74000;1;;
;24;36;Clemson University;SC;53;61;23908;15318;42826;34236;30213;49400;1;;
;25;4;University of Minnesota, Twin Cities Campus;MN;45;59;24104;14716;32524;23136;26796;47800;1;;
;26;17;University of Illinois at Urbana?Champaign;IL;59;69;27836;14245;42996;29405;23808;56600;1;;
;27;34;Virginia Polytechnic Institute and State University;VA;69;61;21881;15145;38525;31789;27865;57900;1;;
;28;30;Appalachian State University;NC;63;44;15397;7340;29222;21165;21693;36600;1;;
;29;50;University of California, Irvine;CA;37;68;29446;12129;54154;36837;20319;55800;1;;
;30;32;Stony Brook University, State University of New York;NY;41;48;21787;14526;36867;29606;24884;55500;1;;
;31;21;College of New Jersey;NJ;49;73;29154;17080;40085;28011;33635;56800;1;;
;32;35;University of Connecticut;CT;50;67;26388;17634;47932;39178;24999;53900;1;;
;33;38;University of Texas at Dallas;TX;62;51;22950;14358;42472;33880;19613;49500;1;;
;34;41;James Madison University;VA;66;65;20290;12677;35414;27801;23732;53400;1;;
;35;48;Texas A&M University;TX;71;50;20960;11645;39553;30238;25005;52900;1;;
;36;47;University of Central Florida;FL;50;40;17068;12115;33167;28214;23378;43000;1;;
;37;13;State University of New York College at Geneseo;NY;59;66;21093;15375;30943;25225;23308;46700;1;;
;38;25;University of Pittsburgh;PA;53;65;29854;21769;40620;32535;36466;48200;1;;
;39;64;University of California, Davis;CA;41;54;30044;13051;54752;37759;19705;57100;1;;
;40;71;Michigan State University;MI;66;53;24102;14515;46902;37315;26122;49800;1;;
;41;63;University of North Carolina Wilmington;NC;59;49;17239;14812;31105;28678;25644;38700;1;;
;42;42;University of Delaware;DE;66;68;25466;16475;44366;35375;32705;54300;1;;
;43;23;Baruch College of the City University of New York;NY;28;35;24498;17628;34968;28098;7737;54000;1;;
;44;89;Indiana University Bloomington;IN;76;59;21412;11275;44765;34628;27300;45300;1;;
;45;26;University of South Florida;FL;47;39;17010;10113;27925;21028;22719;41700;1;;
;46;51;University of Alabama;AL;51;39;20170;10992;35950;26772;29320;42400;1;;
;47;40;Rutgers University ? New Brunswick;NJ;60;59;27535;16540;42925;31930;25228;54800;1;;
;48;68;University of North Carolina at Asheville;NC;73;38;16287;9659;31901;25273;21105;36000;1;;
;49;57;Penn State University Park;PA;50;66;30274;23287;44106;37119;36935;47500;1;;
;50;33;Miami University;OH;66;66;27071;18317;43771;35017;28887;45800;1;;
;51;49;University of Missouri;MO;78;46;20441;11658;36098;27315;25321;46000;1;;
;52;74;University of South Carolina;SC;65;56;22896;17804;41712;36620;28233;42100;1;;
;53;66;University at Buffalo, the State University of New York;NY;58;53;23638;18211;38718;33291;21228;49700;1;;
;54;55;State University of New York at New Paltz;NY;42;55;20817;15977;30667;25827;25874;46000;1;;
