Kon;pomiar 1;pomiar 2;pomiar 3;pomiar 4;pomiar 5;pomiar 6
Mine That Bird;19;19;19;12;1;1
Pioneer of the Nile;3;4;3;2;2;2
Musket Man;8;7;8;7;4;3
Papa Clem;5;3;6;4;3;4
Chocolate Candy;17;15;12;8;7;5
Summer Bird;16;16;16;15;9;6
Join in the Dance;1;1;1;1;5;7
Regal Ransom;2;2;2;3;6;8
West Side Bernie;13;14;17;17;13;9
General Quarters;12;11;13;10;10;10
Dunkirk;9;9;10;11;12;11
Hold Me Back;14;13;5;5;8;12
Advice;15;17;15;13;14;13
Desert Party;4;5;4;6;11;14
Mr. Hot Stuff;18;18;18;16;16;15
Atomic Rain;10;10;9;9;15;16
Nowhere to Hide;11;12;14;18;18;17
Friesan Fire;6;6;7;14;17;18
Flying Pricate;7;8;11;19;19;19
