cena.napoju;cena.frytek;cena.burgera;liczba.menedzerow;otwarte;liczba.pracownikow;cena.napoju2;cena.frytek2;cena.burgera2;liczba.menedzerow2;otwarte2;liczba.pracownikow2;sieciowka;gestosc.zal;przestepczosc;ubodzy;brak.auta;liczba.sklepow;dochod;Burger.King;KFC;Roy.Rogers
0.91;0.89;0.81;3;10.5;7.5;1.01;0.84;0.86;4;10.5;8;4;6045.26;0.0601558;0.340465;0.543236;2;18963;0;0;0
0.94;0.74;0.86;5;11.5;20;0.98;0.84;0.86;5;12;20;4;6045.26;0.0601558;0.340465;0.543236;2;18963;0;0;0
0.89;0.79;1.8;4;11.5;13.5;1;0.8;1.81;4;11.5;15;4;2280.73;0.0051802;0.183236;0.199348;3;26355;0;0;0
0.89;0.77;0.84;3;11.5;35;1;0.8;1.81;3;11.5;15;4;2280.73;0.034948;0.109913;0.222658;2;27759;0;0;0
0.95;0.84;0.94;3;11.5;50;1;0.84;0.94;3;12.5;16;4;1835;0.0461039;0.170223;0.138844;2;29797;0;0;0
1.06;1.05;1.06;4;15.5;20;1.11;1.09;2.07;4;15.5;20;4;18388;0.0945454;0.203682;0.391949;5;31314;0;0;0
0.91;0.91;1.94;4;11.5;14;0.97;0.9;2.06;3;11.5;14.5;4;9410;0.0881439;0.134611;0.24391;2;31887;0;0;0
1.17;0.95;0.85;6;16;16;1.37;0.95;2.03;6;16;17;4;13602;0.108739;0.161124;0.260423;1;33306;0;0;0
1.06;0.86;1.06;3;16;25;1;0.85;1.05;3;15;33;4;204;0.0559881;0.109427;0.0934112;1;33510;0;0;0
0.89;0.86;0.95;3;12.5;10;1;0.85;0.95;2;11.5;12.5;4;604;0.0610572;0.111178;0.11448;3;35998;0;0;0
1.06;0.98;1.06;3;12.5;16.5;1.05;0.89;2.11;3;12.5;22;4;11187;0.0508752;0.111877;0.225859;1;36705;0;0;0
0.87;0.77;1.01;3;12;20.5;1.04;0.84;0.94;4;12;14;4;6045.26;0.0601558;0.0821592;0.0940994;7;36871;0;0;0
0.91;0.91;1.06;4;11.5;15;1.01;0.95;1.05;3;11.5;50;4;9410;0.0881439;0.109182;0.202827;2;37367;0;0;0
0.87;0.77;1.65;5;12;19;1.01;0.84;0.95;6;12;29.5;4;1763.92;0.058349;0.0510291;0.0847772;4;38465;0;0;0
0.95;0.92;0.95;3;16;17.5;1;0.84;2.69;3;16;20.5;4;4215;0.0249147;0.0434402;0.098887;2;39207;0;0;0
0.95;0.71;0.95;2;11.5;11;1;0.85;0.94;2;10.5;13;4;1666;0.0621878;0.138885;0.0985172;4;39672;0;0;0
0.91;0.84;0.85;3;12;25;0.98;0.84;0.9;3;12;23.75;4;8844;0.0697487;0.0707771;0.166113;6;40370;0;0;0
