market_value;age;height;weight;goals_CL;goals_UEFA;goals_cups;goals_top5l;goals_rest;goals_nat;app_nat;games_start;subs;assists;shots_tot;shots_on_gs;top_spa;top_ita;top_eng;top_ger;top_fra;rank;popularity;name
12.0;20;173;65;5;0;7;20;0;0;1;47;67;11;139;62;0;0;0;0;0;828;1.04;bojan krkic
100.0;23;169;67;25;0;16;87;0;14;52;198;35;47;600;275;1;0;0;0;0;1;57.2;lionel messi
25.0;23;169;64;4;0;6;12;0;1;11;38;25;4;71;37;0;0;0;0;0;57;9.58;pedro
3.0;22;175;72;0;0;0;2;0;0;0;6;11;0;7;4;0;0;0;0;0;1713;3.98;jeffren
50.0;29;175;69;8;8;2;108;0;44;70;233;23;35;724;328;0;0;0;0;0;9;14.7;david villa
25.0;23;184;73;13;0;2;52;0;11;32;132;57;17;453;184;0;0;0;0;1;756;9.61;benzema
35.0;23;183;82;2;0;1;59;5;7;12;131;42;29;335;166;0;0;0;0;0;3;4.49;higuain
90.0;25;185;75;23;0;11;101;0;25;79;246;25;51;1322;579;0;0;1;0;0;2;61.6;cristiano
20.0;26;180;70;4;1;0;11;0;9;23;44;39;5;83;39;0;0;0;0;0;51;1.73;nilmar
20.0;23;171;72;3;2;6;43;0;3;18;136;40;19;407;188;0;0;0;0;0;22;2.51;rossi
3.0;24;179;72;0;0;0;7;17;1;1;60;17;3;76;36;0;0;0;0;0;1618;1.99;ruben
8.0;29;177;74;0;0;1;45;0;0;1;130;28;20;283;118;0;0;0;0;0;110;0.012;aduriz
23.0;22;170;63;0;0;0;25;0;10;3;82;15;18;144;60;0;0;0;0;0;157;36.4;mata
12.0;25;176;73;1;1;4;42;0;0;2;89;38;9;259;107;0;0;0;0;0;33;1.0;soldado
5.0;29;180;68;0;8;0;41;0;0;7;190;22;27;344;111;0;0;0;0;0;718;14.2;garcia
5.0;24;182;74;0;0;0;15;0;0;0;37;32;1;155;53;0;0;0;0;0;51;0.482;osvaldo
2.5;31;180;78;0;0;0;20;5;0;1;62;30;4;154;56;0;0;0;0;0;1693;0.877;alonso
36.0;22;170;69;5;3;2;54;18;9;25;194;38;31;431;187;0;0;0;0;0;38;1.14;aguero
16.0;31;179;75;4;3;4;95;0;29;69;208;13;25;628;255;1;0;0;0;0;113;2.97;forlan
5.0;22;188;85;0;0;0;8;10;0;0;66;3;5;83;37;0;0;0;0;0;515;2.84;costa
6.0;26;185;80;0;0;2;28;0;0;0;108;45;11;298;117;0;0;0;0;0;270;0.735;manu
5.0;26;171;69;0;0;0;16;2;0;0;41;21;3;108;51;0;0;0;0;0;819;0.571;colunga
20.0;25;195;90;0;6;5;42;0;7;13;124;45;16;347;134;0;0;0;0;0;136;1.03;lorente
6.0;18;169;63;0;0;0;4;0;0;0;4;22;3;16;10;0;0;0;0;0;914;0.431;munian
5.0;31;184;72;4;0;0;39;0;0;0;87;17;11;230;116;0;0;0;0;0;205;0.31;lorente2
3.5;28;180;78;0;2;1;26;0;17;44;85;92;12;203;71;0;0;0;0;0;475;0.093;webo
3.0;33;180;74;0;4;0;41;0;5;13;113;20;8;216;91;0;0;0;0;0;1575;0.306;tamudo
4.0;27;181;78;0;0;0;33;0;0;4;55;25;8;108;94;0;0;0;0;0;1678;0.223;cavenaghi
20.0;30;183;81;9;7;12;62;0;28;43;154;32;17;426;157;0;0;0;0;0;27;7.25;fabiano
9.0;33;192;82;8;12;7;73;0;23;38;177;38;18;397;148;0;0;0;0;0;276;1.09;kanoute
2.0;27;182;78;3;0;0;1;0;9;34;63;22;3;53;14;0;0;0;0;0;1666;0.097;kone
16.0;25;185;82;1;0;2;43;8;2;4;116;25;16;269;114;0;0;0;0;0;393;0.812;negrado
15.0;22;179;70;1;0;0;5;2;0;1;55;21;5;46;25;0;0;0;0;0;772;0.315;perotti
6.0;33;190;80;7;1;0;51;0;34;71;106;30;8;182;86;0;0;0;0;0;221;1.19;trezeguett
5.0;27;178;71;2;0;1;17;0;10;45;136;35;12;280;93;0;0;0;0;0;455;0.556;valdez
3.0;30;187;84;0;0;1;30;0;0;0;95;64;12;307;82;0;0;0;0;0;1312;0.574;riki
2.5;22;180;71;0;0;0;8;0;0;0;53;31;4;80;30;0;0;0;0;0;742;0.568;adrian
3.5;28;185;76;3;0;5;30;0;6;30;65;48;17;199;86;0;0;0;0;0;713;0.776;rosenberg
1.5;35;167;70;0;0;1;13;0;2;21;161;11;42;213;51;0;0;0;0;0;839;0.069;munitis
2.5;30;183;82;0;0;0;11;0;0;0;45;12;7;87;38;0;0;0;0;0;460;0.869;aranda
2.0;34;184;74;0;11;3;35;0;0;4;101;69;10;250;97;0;0;0;0;0;685;0.174;pandiani
4.0;22;185;78;0;3;0;9;0;5;25;68;46;3;92;45;0;0;0;0;0;369;0.63;caicedo
6.0;21;163;63;0;0;0;12;12;0;0;89;34;9;129;58;0;0;0;0;0;384;0.841;piatti
2.5;24;185;75;0;0;0;0;35;0;0;105;23;6;55;37;0;0;0;0;0;1425;0.11;ulloa
5.0;28;179;75;0;1;0;20;0;4;26;68;41;5;166;63;0;0;0;0;0;270;0.275;uche
1.0;17;170;63;0;0;0;0;0;0;0;0;5;1;2;1;0;0;0;0;0;1753;0.563;juanmi
2.0;24;180;74;0;0;3;0;2;1;15;26;45;4;40;25;0;0;0;0;0;1280;0.319;owusu
1.5;30;185;82;0;0;1;18;0;3;4;67;50;4;134;48;0;0;0;0;0;1479;1.42;bilic
4.0;26;175;69;1;0;4;28;1;0;1;92;61;13;162;66;0;0;0;0;0;1528;0.083;sinama
5.0;26;178;71;0;0;0;19;0;6;23;78;31;12;148;62;0;0;0;0;0;2266;0.127;i. uche
25.0;29;188;81;4;12;7;69;0;48;77;208;32;44;503;262;0;0;0;0;0;5;0.267;berbatov
8.5;31;173;71;4;0;5;29;0;40;89;92;37;8;173;101;0;0;0;0;0;2054;74.6;owen
55.0;25;178;79;18;0;13;80;0;25;66;243;24;66;983;436;0;0;0;0;0;12;51.4;rooney
1.5;19;184;77;0;0;0;3;0;0;0;8;7;2;20;7;0;0;0;0;0;1815;0.458;macheda
26.0;20;189;88;2;0;0;20;0;0;2;42;34;13;153;56;0;0;0;0;0;1174;9.17;balotelli
23.0;26;192;73;8;3;6;51;0;16;38;174;31;22;403;194;0;0;0;0;0;1026;5.62;adebayor
7.0;29;188;83;1;0;3;32;0;21;76;90;50;10;181;82;0;0;0;0;0;1795;0.406;santa cruz
