"id","child_age","age","sex","education","race","latino","metropolis","employment","employment_type","partner_in_house","n_of_children","work_hours","day","day_off","elderly_care","childcare","sleep","insomnia","getting_ready","in_house","in_garden","vehicles","time_with_children","school_children","doctor_children","work","hobby_income","courses","shopping","services","departments","free_time","culture","sport","watching_sport","religion","phone","travel","any_children","earnings"
1,0,20,"F","secondary","white","latino","metropolis","unemployed",NA,"partner",1,NA,"sunday",FALSE,NA,150,1145,0,60,0,0,0,30,0,0,0,0,0,0,0,0,30,0,90,0,0,0,55,1,NA
2,16,16,"F","primary","black","non-latino","metropolis","employed","full-time","no partner",1,35,"thursday",FALSE,NA,0,540,0,60,0,0,0,0,0,0,465,0,0,0,0,0,140,0,0,0,0,0,90,1,1846.15
3,2,65,"F","secondary","white","latino","metropolis","not in the labor force",NA,"no partner",3,NA,"monday",FALSE,NA,0,555,0,90,60,0,0,180,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,1,NA
4,NA,50,"F","secondary","black","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,780,0,60,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,110,0,20,0,NA
5,8,23,"F","secondary","black","non-latino","non-metropolis","unemployed",NA,"no partner",1,NA,"wednesday",FALSE,NA,200,645,0,60,95,0,0,85,90,0,0,0,0,0,0,0,120,0,0,0,0,0,0,1,NA
6,NA,85,"M","primary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,NA
7,1,27,"M","tertiary","white","non-latino","non-metropolis","employed","full-time","partner",1,72,"sunday",FALSE,NA,0,585,0,30,0,0,0,0,0,0,645,0,0,10,0,0,0,0,0,0,0,0,45,1,800
8,0,28,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",1,40,"sunday",FALSE,NA,210,450,0,60,0,0,0,60,0,0,555,0,0,0,0,0,180,0,30,0,0,0,60,1,1000
9,NA,63,"F","secondary","white","non-latino","metropolis","employed","half-time","no partner",0,NA,"sunday",FALSE,NA,0,425,0,70,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,13,49,0,144.9
10,NA,85,"M","tertiary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"thursday",FALSE,NA,0,520,0,95,15,0,0,0,0,0,0,0,0,0,0,0,607,0,30,0,0,0,10,0,NA
11,NA,66,"F","secondary","white","non-latino","metropolis","employed","full-time","partner",0,40,"sunday",FALSE,NA,0,495,0,15,45,0,0,0,0,0,0,0,0,40,0,0,430,0,0,0,0,0,65,0,730.76
12,NA,54,"M","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,60,0,0,0,0,60,0,NA
13,0,31,"F","secondary","white","latino","metropolis","not in the labor force",NA,"no partner",3,NA,"friday",FALSE,NA,625,690,0,0,300,0,0,120,0,0,0,0,0,30,0,0,185,0,0,0,0,0,30,1,NA
14,1,35,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",1,45,"monday",FALSE,NA,126,531,20,65,0,0,0,63,0,0,513,0,0,4,0,0,47,0,0,0,0,0,123,1,2884.61
15,NA,80,"M","primary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"thursday",FALSE,NA,0,510,0,20,0,0,0,0,0,0,0,0,0,0,0,0,710,0,0,0,0,0,20,0,NA
16,NA,37,"M","secondary","other","non-latino","metropolis","unemployed",NA,"no partner",0,NA,"wednesday",FALSE,NA,0,380,0,6,0,0,0,0,0,0,0,0,0,25,0,0,540,0,0,0,0,330,54,0,NA
17,10,41,"F","secondary","white","non-latino","metropolis","employed","full-time","partner",2,40,"thursday",FALSE,NA,123,459,0,60,0,0,0,125,0,0,479,0,0,15,0,0,120,0,0,0,0,0,102,1,672.06
18,NA,85,"F","primary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,535,0,105,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,60,0,0,NA
19,NA,67,"M","tertiary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,440,0,55,25,0,0,0,0,0,0,0,0,30,0,0,345,0,60,0,0,75,110,0,NA
