sesja;id;wtp_delay;wtp_risk;wtp_qual;wtp_legal;wtp_ilegal;PISF;Hip;imp_price;imp_delay;imp_qual;imp_legal;imp_qual;judge_good;judge_comf;judge_wise;judge_attr;judge_legal;judge_friends_ok;piracy_impp_ok;piracy_willing_yes;piracy_tech_diff;freq_cinema;freq_dvd;freq_movie_tv;freq_movie_int;freq_movie_il;sex;age;edu;rok_studiow;exp_count;siblings;pop_origin;income
1;150;-1.0575651024582;-13.9180165854328;3.77432351585174;10.7508585832444;9.34529792507545;1;1;2;1;3;5;4;3;5;3;5;5;4;3;5;1;4;3;2;3;2;1;24;3;7;5;1;4;5
1;152;-3.27749261092359;-9.50121548120814;13.2014375907239;38.9933367145281;37.9482414872593;1;1;1;4;3;5;2;3;4;3;5;1;4;4;5;1;4;2;5;4;3;2;22;1;4;5;1;5;6
1;153;-3.72171082074818;-15.6513860491238;12.4324087155682;3.50400150934124;2.24135858262327;1;1;1;5;4;3;2;3;5;3;3;5;5;3;3;1;3;1;5;1;3;1;25;1;5;2;1;5;4
1;154;-1.08403875758399;-9.11237888255003;3.67936249207643;21.4973467354885;21.3145703160373;1;1;2;1;3;5;4;5;5;5;3;5;5;5;5;1;3;1;1;3;5;1;29;3;7;5;0;5;6
1;156;-0.859847531193668;-12.1795788477225;4.04129950956203;35.061682393579;34.7310144110213;1;1;2;4;1;3;5;4;5;3;5;4;5;4;5;1;2;1;2;1;5;1;25;2;4;8;1;5;2
1;157;-1.80202457002457;-18.2600884520885;13.0076461916462;34.0272825552826;28.1882653562654;1;1;1;5;4;3;2;3;4;3;3;1;4;3;4;2;2;2;3;1;3;2;27;2;3;8;1;4;1
1;158;-2.16789674315506;-7.27380260130115;6.39048343248495;31.6962630524783;31.3090001838902;1;1;3;5;1;4;2;2;4;3;2;1;2;1;3;4;3;2;6;1;1;1;31;3;7;2;2;5;6
1;159;-0.882167942757909;-14.3750932451706;2.35053619702928;6.24721756410792;5.64778688182182;1;1;2;5;3;4;1;1;5;5;5;2;4;4;4;1;2;1;5;4;5;1;27;3;7;4;1;5;4
1;165;-5.15643596972476;-8.41914663904937;11.8606590019641;10.6148684399047;9.45886793900278;1;1;1;5;4;3;2;2;4;3;5;3;5;1;5;1;3;1;4;2;5;2;21;1;1;1;2;5;4
1;166;-1.73549737233448;-9.59794362463075;10.0991178311161;17.0846034277409;6.04992228031572;1;1;2;5;4;3;1;2;5;3;3;1;5;5;4;1;3;2;4;2;4;2;21;1;2;1;1;5;8
1;167;-1.16903417406901;-11.867146377421;6.06442032880766;40.2588734958034;38.9530099898345;1;1;1;4;3;5;2;3;5;4;5;1;5;5;5;1;3;1;1;3;5;2;25;2;3;5;1;3;5
1;168;-1.03397972505952;-13.3756623915214;5.23089624452807;29.5767222179556;29.3007833499731;1;1;2;4;1;5;3;4;5;3;5;1;5;4;5;1;2;3;5;3;2;2;20;1;2;3;2;2;7
1;169;-3.53594552547974;-7.7722777400249;11.5837694077552;9.83004308426786;3.53880861133437;1;1;2;5;4;1;3;3;5;3;5;2;4;4;4;1;2;1;3;1;2;1;25;1;5;0;2;5;6
1;171;-1.94596529938191;-12.2688852494963;7.5784601258103;9.71204448586347;6.06791426261187;1;1;1;3;4;5;2;3;5;3;5;3;5;4;5;1;1;1;2;1;4;1;22;2;3;0;2;2;2
1;173;-2.95808426294642;-11.6843959837119;10.1964457468516;11.357789423535;9.36954704396523;1;1;2;3;1;4;5;2;5;3;5;1;4;3;5;3;3;1;1;1;1;2;23;2;5;4;1;2;4
2;251;-4.31742766926717;-8.00369052114551;12.2592524150417;23.0087656572636;21.5312448947344;0;0;2;5;3;4;1;2;5;2;4;1;4;4;3;1;2;3;3;4;3;2;21;1;2;0;3;2;9
