Year;United Kingdom;Poland
1500;3942;4000
1510;3942;4000
1520;3942;4000
1530;3942;4000
1540;3942;4000
1550;3942;4000
1560;3942;4000
1570;3942;4000
1580;3942;4000
1590;3942;4000
1600;6170;5000
1610;6170;5000
1620;6170;5000
1630;6170;5000
1640;6170;5000
1650;5800;5500
1660;5800;5500
1670;5800;5500
1680;5800;5500
1690;5800;5500
1700;8565;6000
1710;8565;6000
1720;8565;6000
1730;8565;6000
1740;8565;6000
1750;7250;7000
1760;7250;7000
1770;7250;7000
1780;7250;7000
1790;7250;7000
1800;10750;9000
1810;11970;9000
1820;21239;10426
1830;24139;10426
1840;26745;10426
1850;27181;13000
1860;28888;13000
1870;31400;16865
1880;34623;16865
1890;37485;22854
1900;41155;24750
1910;44916;26644
1920;46821;23968
1930;45866;28204
1940;48226;30021
1950;50127;24824
1960;52372;29589,842
1970;55632;32526
1980;56314;35578,016
1990;57493,307;38119,408
2000;59522,468;38654,164
2010;59522,468;38654,164
