ID_resp;sex;age;edugroup;forpleas;forentert;forrest;forcontart;forposh;forestet;formovm;forsocial;forchild;forticket
2;2;2;3;3;3;4;2;3;3;3;2;4;1
3;2;2;3;4;4;4;1;1;4;1;4;1;1
4;1;2;3;3;4;3;3;3;3;3;4;1;2
5;1;2;3;4;4;3;4;3;3;3;4;1;2
6;1;1;3;4;4;2;2;3;3;3;2;1;1
7;2;2;3;4;4;4;2;4;4;4;3;1;3
8;2;2;2;3;3;3;3;3;3;3;3;1;3
10;2;2;3;4;4;4;4;4;4;4;4;1;2
12;2;3;3;4;4;3;4;3;4;4;2;2;1
15;1;3;3;3;3;3;3;2;3;2;2;1;2
17;2;2;3;4;4;3;2;2;2;3;4;3;2
18;2;2;3;4;4;4;3;2;3;4;2;4;1
22;2;1;2;4;4;4;4;3;3;3;4;4;2
25;2;2;3;1;3;3;3;3;3;2;2;1;3
27;1;2;3;3;3;2;3;2;3;3;3;1;3
28;1;2;3;4;3;3;3;3;4;4;2;2;1
29;2;1;2;3;3;2;1;1;3;1;3;1;3
31;2;2;3;4;4;4;4;4;4;4;2;3;2
32;1;3;3;3;4;3;4;4;4;4;3;1;1
34;1;3;2;4;4;3;3;3;4;4;1;1;2
35;2;2;2;4;4;4;2;1;2;3;2;2;1
36;1;2;3;4;3;4;1;4;3;4;2;3;2
37;2;3;3;4;4;4;4;4;4;4;4;2;2
39;2;1;2;4;4;3;3;4;4;2;3;1;2
41;2;2;3;4;4;4;4;4;4;3;3;4;2
42;1;1;3;4;4;3;4;3;3;2;2;1;1
44;1;2;3;3;3;3;2;3;3;4;2;2;2
45;2;3;3;4;4;4;4;4;4;4;4;2;1
46;2;3;2;4;3;3;3;3;4;3;2;2;1
48;2;2;3;4;4;4;2;3;4;4;3;3;1
52;2;3;3;4;4;4;4;4;4;4;4;4;1
53;1;3;3;4;3;3;2;2;3;3;3;1;3
55;1;2;3;3;4;4;4;4;3;4;2;4;3
59;2;1;3;4;3;4;3;4;4;4;2;1;1
61;2;3;3;4;4;3;3;4;3;3;2;4;2
62;2;2;3;4;4;4;1;3;4;3;3;1;2
63;1;2;2;3;3;3;3;3;4;3;2;2;1
64;1;3;3;4;4;3;4;4;4;4;2;2;1
65;2;2;3;4;4;4;4;4;4;4;3;1;1
66;1;2;3;3;4;3;3;4;4;3;3;2;3
67;1;4;2;3;3;3;3;3;3;3;3;2;2
71;1;3;3;4;4;3;3;4;4;4;4;3;3
73;1;2;3;4;4;4;2;4;4;4;3;1;1
76;1;2;3;3;3;3;4;4;3;4;3;1;2
77;1;2;3;4;4;3;3;4;4;4;3;2;2
78;1;3;2;4;4;4;2;4;4;4;2;1;1
80;2;3;2;3;3;3;3;3;4;3;3;3;4
81;2;3;2;4;4;3;3;3;4;4;2;1;1
82;2;2;2;4;4;4;4;4;4;4;4;4;1
83;1;3;2;4;3;4;4;4;4;4;2;2;1
85;2;2;3;4;4;4;2;2;3;2;2;1;1
87;1;1;3;3;3;3;1;2;2;3;3;1;3
88;1;2;3;4;4;3;1;1;1;3;2;3;2
89;1;2;3;3;4;3;1;3;3;2;2;1;1
90;1;3;3;4;4;4;3;4;4;4;4;4;1
91;2;2;3;4;3;3;2;2;3;4;2;2;1
92;1;2;3;4;4;4;2;3;2;3;2;1;1
93;1;4;3;3;4;4;2;4;3;4;2;3;1
94;2;2;3;4;3;3;3;3;4;3;3;2;1
95;1;1;3;3;3;3;3;3;2;2;2;1;1
96;2;3;2;4;4;4;4;4;4;3;3;3;1
97;2;2;3;4;3;2;4;3;4;3;2;1;2
100;2;2;3;4;4;4;3;3;3;3;2;2;1
101;2;2;3;4;4;4;3;4;4;4;4;2;4
102;1;2;3;4;4;3;3;3;3;4;3;2;1
104;2;2;3;4;4;4;2;2;3;4;3;2;2
105;2;2;3;4;4;4;3;3;4;2;4;2;2
107;2;2;3;4;3;4;2;3;3;3;3;1;2
108;2;2;3;3;4;4;3;2;4;3;3;1;1
113;1;2;2;3;3;4;3;3;4;4;2;1;1
115;2;1;3;4;3;3;3;3;3;3;4;1;1
116;2;2;2;4;4;4;3;4;4;3;2;1;1
118;2;2;2;4;4;4;2;2;4;4;4;3;2
119;1;2;3;4;4;4;1;3;2;3;2;1;1
122;2;1;2;4;4;4;4;4;4;4;2;1;2
123;2;1;2;4;4;4;4;4;4;3;4;1;4
124;2;1;2;4;2;2;3;3;2;4;4;1;1
125;1;3;3;4;4;4;2;2;3;4;1;1;1
126;2;3;2;4;4;4;4;3;4;4;3;2;2
127;2;2;3;3;3;3;3;3;3;3;3;2;1
128;2;2;3;3;3;3;2;2;3;3;3;2;3
130;2;1;2;3;3;3;3;3;3;3;4;1;2
133;1;2;3;3;3;3;2;2;3;2;2;1;2
134;1;2;1;4;4;4;4;2;4;3;4;1;2
135;1;3;3;4;4;4;4;4;4;4;3;4;1
136;2;2;3;4;4;4;4;4;4;4;4;2;4
137;1;2;2;4;4;4;4;3;3;3;4;4;3
138;2;3;3;4;4;2;3;3;4;3;3;1;1
139;2;3;2;4;3;4;2;3;4;4;2;4;1
143;2;2;3;4;4;4;4;4;4;4;1;1;1
144;1;3;1;3;3;3;2;3;3;2;1;1;1
148;2;2;3;4;4;3;3;4;4;1;2;1;1
149;1;3;2;4;4;3;3;3;4;3;3;3;1
151;2;4;2;4;4;4;2;4;3;4;2;1;1
162;2;3;3;4;4;3;4;4;4;3;3;1;1
167;1;3;2;3;3;4;4;2;3;3;3;1;2
168;2;3;3;4;4;3;3;3;4;3;3;2;2
170;2;3;2;3;4;3;3;4;4;4;3;4;1
172;2;3;3;3;3;3;3;3;3;3;3;4;1
181;2;3;2;4;4;4;3;4;4;4;2;3;2
186;2;3;3;4;3;3;2;3;3;3;2;2;1
188;2;3;3;4;4;4;4;4;4;4;1;1;1
194;2;4;2;3;3;3;3;3;3;3;2;3;2
199;1;3;2;4;3;3;2;3;2;3;1;1;1
201;2;3;3;3;3;3;3;3;4;4;3;2;2
212;1;3;3;4;4;4;4;4;3;3;2;2;1
220;2;3;2;4;4;4;4;4;3;4;3;2;3
225;1;3;3;4;4;4;4;4;4;4;2;1;1
233;2;2;3;3;3;3;3;3;3;3;3;2;2
237;1;4;3;4;3;3;3;4;4;4;1;1;3
242;2;3;2;4;3;4;2;2;3;2;2;2;1
246;1;3;3;3;3;3;3;2;3;3;3;3;2
252;2;3;2;4;4;2;4;4;4;4;3;1;1
270;2;3;2;4;4;4;3;3;4;4;3;2;3
271;2;3;2;4;4;4;4;4;4;4;4;4;4
273;2;3;3;4;3;3;4;4;4;3;4;2;1
278;1;3;2;3;3;4;3;3;3;3;3;2;2
284;1;3;3;3;2;4;2;4;4;4;1;1;1
287;2;1;2;4;4;4;4;4;3;3;3;4;2
290;2;4;2;4;4;4;3;4;4;4;2;1;3
295;2;3;3;4;4;4;4;4;4;3;2;2;2
299;1;3;2;4;4;4;3;3;3;3;3;1;2
300;2;2;3;4;4;3;3;3;4;3;3;4;1
303;2;2;3;4;4;4;3;3;4;3;4;2;3
304;1;3;2;4;3;4;3;3;3;3;2;4;1
308;1;3;3;4;4;4;3;3;4;3;3;1;2
309;1;1;3;4;3;2;1;2;4;4;1;1;4
320;1;3;3;4;4;4;4;4;4;4;4;4;4
324;1;2;3;4;4;4;4;4;4;4;4;4;3
327;2;2;3;4;4;3;4;4;4;3;3;2;2
330;2;3;2;4;3;4;3;3;4;3;4;2;2
331;1;3;3;4;4;4;2;2;2;3;2;2;2
341;2;2;2;4;4;4;4;3;4;4;2;3;1
346;2;3;3;3;4;3;4;3;3;4;3;2;2
357;1;2;3;4;3;3;4;4;4;4;1;3;1
