rank;title;year;length;budget;rating;votes;mpaa;Action;Animation;Comedy;Drama;Documentary;Romance;Short;p1;p2;p3;p4;p5;p6;p8;p7;p9;p10;WR
1;Shawshank Redemption, The;1994;142;25000000;9,1;149494;R;0;0;0;1;0;0;0;3,879310345;3,879310345;3,879310345;3,879310345;3,879310345;3,879310345;12,5;3,879310345;21,12068966;39,22413793;8,725628638
2;Godfather, The;1972;175;6000000;9,1;122755;;0;0;0;1;0;0;0;4,245283019;4,245283019;4,245283019;4,245283019;4,245283019;4,245283019;13,67924528;4,245283019;13,67924528;42,9245283;8,657879216
3;Lord of the Rings: The Return of the King, The;2003;251;94000000;9;103631;PG-13;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;56,08695652;8,511583083
4;Lord of the Rings: The Fellowship of the Ring, The;2001;208;93000000;8,8;157608;PG-13;1;0;0;0;0;0;0;4,245283019;4,245283019;4,245283019;4,245283019;4,245283019;4,245283019;13,67924528;4,245283019;13,67924528;42,9245283;8,483335032
5;Star Wars;1977;125;11000000;8,8;134640;PG;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,437775267
6;Pulp Fiction;1994;168;8000000;8,8;132745;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,43342384
7;Lord of the Rings: The Two Towers, The;2002;223;94000000;8,8;114797;PG-13;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,386360534
8;Star Wars: Episode V - The Empire Strikes Back;1980;129;18000000;8,8;103706;PG;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,350715923
9;Schindler's List;1993;195;25000000;8,8;97667;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,328597289
10;Godfather: Part II, The;1974;200;13000000;8,9;71363;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,273975941
11;Usual Suspects, The;1995;106;6000000;8,7;103854;R;0;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;8,270633768
